day,strat_return
0,0.0270854871
1,-0.0021038791
2,0.0081085795
3,-0.0054348804
4,0.0072447164
5,-0.0059319599
6,0.0026527028
7,-0.0025465508
8,0.0033720177
9,-0.0122872382
10,0.0059675259
11,-0.0045343212
12,0.0022145292
13,-0.0070355185
14,-0.0085761517
15,0.0154598387
16,0.0066869970
17,-0.0097553295
18,-0.0027195991
19,0.0065009417
20,0.0033915585
21,-0.0041374612
22,-0.0078770486
23,-0.0070179984
24,0.0043780205
25,0.0202547574
26,0.0094251991
27,-0.0135365532
28,-0.0038964806
29,-0.0016150045
30,0.0037078179
31,-0.0004067871
32,-0.0188072008
33,-0.0014546914
34,0.0129395370
35,-0.0049335965
36,0.0109184275
37,0.0042746889
38,0.0239762455
39,0.0016260612
40,0.0042395919
41,0.0117997128
42,0.0050412088
43,0.0073424583
44,-0.0155563262
45,0.0068343870
46,-0.0153944075
47,-0.0079066874
48,0.0095457856
49,-0.0029396359
50,-0.0089319377
51,0.0157243735
52,0.0098876907
53,-0.0017931499
54,0.0109945052
55,-0.0093120895
56,-0.0030608082
57,0.0015703889
58,-0.0062419387
59,-0.0256353433
60,-0.0063023315
61,-0.0027849842
62,0.0046601412
63,0.0159427907
64,0.0022078609
65,-0.0121076491
66,0.0068489766
67,0.0032969185
68,-0.0010781610
69,0.0122417524
70,0.0051605761
71,0.0017103258
72,0.0042994654
73,0.0009493612
74,0.0321986331
75,-0.0106067808
76,-0.0146322526
77,0.0041096119
78,0.0044935691
79,-0.0172364405
80,0.0088418552
81,-0.0082960936
82,0.0055444159
83,-0.0053132162
84,0.0137636101
85,-0.0025584295
86,-0.0065031281
87,0.0019955895
88,-0.0168173742
89,-0.0065209795
90,0.0006646283
91,-0.0034697259
92,0.0044767100
93,0.0064205349
94,0.0175285984
95,0.0176189506
96,-0.0044099565
97,0.0013174829
98,-0.0119031134
99,-0.0103235321
100,-0.0026448755
101,0.0162292192
102,0.0001460531
103,0.0145263547
104,-0.0167484967
105,0.0091020657
106,0.0021792319
107,0.0141184435
108,-0.0153133850
109,0.0108903297
110,0.0029474578
111,-0.0049893705
112,-0.0157249291
113,0.0002754710
114,0.0018492035
115,-0.0119515306
116,-0.0052808182
117,0.0103868116
118,0.0121305334
119,-0.0026751580
120,0.0077686194
121,-0.0057593594
122,0.0005647034
123,0.0048199790
124,-0.0011395529
125,-0.0128587058
126,0.0034529312
127,0.0028816810
128,0.0245597675
129,-0.0000395536
130,-0.0079364976
131,-0.0104147131
132,0.0044782726
133,0.0144970776
134,-0.0020873968
135,0.0012138895
136,0.0043161258
137,-0.0118824940
138,-0.0032364510
139,-0.0130224974
140,-0.0007796115
141,-0.0024036564
142,0.0060674323
143,-0.0100257357
144,-0.0009341471
145,0.0117549847
146,-0.0031974633
147,0.0311896658
148,-0.0025852973
149,0.0074623770
150,0.0094751081
151,0.0027758415
152,0.0225568526
153,-0.0071648240
154,-0.0082817250
155,0.0067738214
156,0.0215091769
157,-0.0066823475
158,0.0163734981
159,0.0163912790
160,0.0038564658
161,0.0099214148
162,0.0170088124
163,-0.0079966976
164,-0.0000088519
165,-0.0039747455
166,0.0060002767
167,0.0064332273
168,-0.0084871721
169,-0.0173440207
170,0.0049315111
171,-0.0009689980
172,-0.0191712523
173,-0.0096721726
174,0.0213935425
175,0.0030346991
176,-0.0042061805
177,0.0058423124
178,-0.0113355960
179,0.0110096208
180,-0.0077300238
181,0.0054883783
182,0.0023507078
183,-0.0019515471
184,0.0165272520
185,-0.0031973232
186,0.0002255167
187,0.0006517898
188,0.0242825792
189,-0.0139106486
190,0.0081499792
191,0.0192874861
192,0.0059806207
193,0.0109002532
194,0.0147924965
195,0.0044705643
196,-0.0085661988
197,-0.0038060151
198,0.0041089385
199,0.0006041713
200,0.0266221532
201,0.0002575356
202,-0.0028970785
203,0.0021386216
204,-0.0072678869
205,-0.0033751690
206,0.0007854686
207,0.0046117373
208,0.0191192676
209,-0.0006424340
210,-0.0057450827
211,0.0000088165
212,-0.0038948859
213,0.0120048658
214,-0.0017026174
215,-0.0093172735
216,0.0157799913
217,0.0136831932
218,-0.0034937682
219,0.0125540577
220,0.0054406425
221,-0.0084434357
222,0.0141626096
223,0.0098302907
224,0.0013520353
225,0.0104370117
226,-0.0070453952
227,0.0066869377
228,0.0049064055
229,-0.0052968660
230,0.0090587005
231,0.0098268950
232,0.0151034732
233,0.0020619166
234,0.0086580155
235,0.0131204733
236,0.0146303496
237,0.0054672812
238,0.0074636307
239,-0.0070346328
240,0.0116218155
241,-0.0001592044
242,-0.0160061200
243,0.0057273031
244,0.0164601665
245,-0.0025683572
246,0.0048551826
247,-0.0025012259
248,0.0092949971
249,-0.0046635950
250,0.0066605938
251,0.0036203668
