day,strat_return
0,0.0080159290
1,-0.0024519961
2,0.0115811693
3,-0.0020509830
4,0.0161816083
5,0.0100344189
6,-0.0008612301
7,-0.0176042909
8,-0.0027762727
9,-0.0184135977
10,0.0206952941
11,-0.0045598212
12,0.0116262315
13,0.0070380231
14,0.0039859728
15,0.0047037824
16,-0.0164509829
17,0.0067623984
18,0.0184523102
19,0.0026429965
20,0.0010022618
21,-0.0026793200
22,0.0045930973
23,-0.0082132546
24,0.0058303126
25,-0.0020348682
26,0.0052462733
27,-0.0201844888
28,0.0053099846
29,0.0158764578
30,0.0031995332
31,0.0140075678
32,-0.0016627989
33,-0.0178077766
34,-0.0049963116
35,0.0090078081
36,-0.0098103348
37,0.0029722794
38,0.0057353382
39,-0.0022068324
40,0.0072895325
41,-0.0098680380
42,-0.0045000527
43,-0.0011914235
44,0.0135482690
45,0.0108253302
46,0.0021376752
47,0.0110460692
48,0.0137053557
49,-0.0028873836
50,-0.0014824531
51,0.0091238935
52,-0.0008015093
53,0.0067674319
54,-0.0238074060
55,-0.0025836921
56,-0.0075483941
57,0.0116784677
58,0.0093714336
59,-0.0047090903
60,0.0124286317
61,-0.0086535821
62,0.0137946256
63,0.0125041816
64,0.0008201373
65,-0.0129862235
66,-0.0022999035
67,0.0147552570
68,0.0139580666
69,0.0180096964
70,-0.0021484390
71,-0.0025007200
72,0.0013756584
73,0.0079366292
74,0.0057251619
75,0.0105518591
76,0.0075639635
77,-0.0037313763
78,0.0216392673
79,0.0055414558
80,0.0194242340
81,0.0153290598
82,0.0006246735
83,0.0081405587
84,-0.0091276230
85,0.0263190693
86,-0.0147113472
87,-0.0049565838
88,0.0150701275
89,-0.0068691040
90,0.0123180310
91,-0.0026952591
92,0.0144089366
93,-0.0044716186
94,-0.0007012981
95,0.0068427869
96,0.0111589582
97,-0.0119766787
98,0.0153646141
99,0.0108855843
100,0.0044467823
101,-0.0082097973
102,-0.0091347784
103,0.0067336112
104,-0.0149818931
105,0.0110110619
106,-0.0021437481
107,0.0165224660
108,-0.0106324646
109,-0.0015707503
110,0.0089760630
111,0.0035677257
112,0.0062416541
113,-0.0117865201
114,-0.0090574334
115,-0.0144545686
116,0.0110852667
117,0.0123026877
118,0.0078919317
119,0.0000458535
120,-0.0093541526
121,0.0069091069
122,-0.0000614952
123,0.0209183507
124,-0.0028966613
125,0.0044330063
126,0.0046148895
127,-0.0072823955
128,0.0152061033
129,0.0104404225
130,-0.0055174447
131,0.0029347921
132,0.0065589397
133,-0.0012577303
134,0.0001541034
135,0.0211903818
136,0.0129617866
137,0.0147330434
138,0.0069545633
139,0.0025728366
140,-0.0059796691
141,-0.0066821339
142,-0.0106323729
143,0.0008190995
144,-0.0006228193
145,0.0000361293
146,0.0045325724
147,-0.0039165799
148,0.0161642550
149,-0.0002203670
150,0.0101713075
151,-0.0017239408
152,0.0231325809
153,-0.0005015857
154,-0.0025475804
155,0.0027752719
156,-0.0044268159
157,0.0137545133
158,-0.0040879348
159,-0.0144935824
160,0.0086557932
161,0.0007503940
162,-0.0003593899
163,-0.0035611176
164,-0.0135365845
165,-0.0048070075
166,0.0115706457
167,0.0070384685
168,0.0120084490
169,-0.0048867682
170,0.0090307541
171,-0.0060774645
172,-0.0024669921
173,-0.0036877438
174,0.0077170868
175,-0.0070102022
176,-0.0054749656
177,-0.0125594593
178,-0.0121199953
179,-0.0236019423
180,-0.0080382186
181,0.0041276885
182,0.0075045635
183,0.0051118166
184,-0.0098768274
185,0.0059601642
186,0.0103957776
187,0.0173039757
188,0.0055126933
189,0.0093453417
190,0.0082515748
191,0.0005870096
192,0.0068858112
193,-0.0059854182
194,0.0068494364
195,-0.0129079242
196,-0.0010948817
197,0.0063619360
198,0.0011255065
199,-0.0203443455
200,0.0073776587
201,-0.0029452456
202,-0.0002209550
203,0.0059493460
204,0.0054415684
205,-0.0067351405
206,0.0203515375
207,0.0052993853
208,0.0169047798
209,0.0051716228
210,0.0055715536
211,-0.0089239659
212,0.0030645358
213,-0.0084842690
214,-0.0142558611
215,0.0064055651
216,-0.0142703433
217,-0.0075367667
218,0.0147792366
219,-0.0086937866
220,0.0029325243
221,0.0065832749
222,-0.0020394863
223,0.0139700385
224,-0.0042514034
225,0.0056107693
226,-0.0078803076
227,0.0099557183
228,0.0002111434
229,-0.0114238047
230,0.0038800317
231,-0.0258967141
232,0.0046054176
233,-0.0034317308
234,-0.0054227807
235,-0.0247031992
236,-0.0160851108
237,0.0093952405
238,0.0032816372
239,-0.0059250426
240,-0.0263653943
241,-0.0002853104
242,-0.0057492483
243,0.0161280073
244,0.0057996135
245,0.0068468878
246,-0.0003650575
247,-0.0021484747
248,-0.0041955277
249,-0.0059310324
250,-0.0035447640
251,-0.0106313249
